"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task"
5,"16",984.6999999,"Right",1,0,1,150,"NoGo","Stop"
5,"17",173.4000001,"Left",1,0,1,100,"Right","NoStop"
5,"18",264.3000001,"Right",1,1,0,100,"Right","NoStop"
5,"19",350.8,"Left",1,1,0,100,"Left","NoStop"
5,"20",188.6999999,"Right",1,1,0,100,"Right","NoStop"
5,"21",142,"Left",1,0,1,100,"Right","NoStop"
5,"22",244.2,"Right",1,1,0,100,"Right","NoStop"
5,"23",795,"Left",1,0,1,100,"NoGo","Stop"
5,"24",792.3000001,"Left",1,0,1,50,"NoGo","Stop"
5,"25",526.8,"Right",1,1,0,50,"Right","NoStop"
5,"26",250.3,"Right",1,1,0,50,"Right","NoStop"
5,"27",549.8000001,"Left",1,1,0,50,"Left","NoStop"
5,"28",298.1999999,"Left",1,1,0,50,"Left","NoStop"
5,"29",318,"Right",1,1,0,50,"Right","NoStop"
5,"30",775.4,"Right",1,0,1,50,"NoGo","Stop"
5,"31",220.5,"Right",1,1,0,50,"Right","NoStop"
5,"32",735.2,"Right",1,0,1,50,"NoGo","Stop"
5,"33",311,"Right",1,1,0,50,"Right","NoStop"
5,"34",590.6,"Left",1,1,0,50,"Left","NoStop"
5,"35",254,"Right",1,1,0,50,"Right","NoStop"
5,"36",766,"Right",1,0,1,50,"NoGo","Stop"
5,"37",283.9,"Left",1,1,0,50,"Left","NoStop"
5,"38",772.7,"Right",1,0,1,50,"NoGo","Stop"
5,"39",652.5,"Left",1,0,1,50,"NoGo","Stop"
5,"40",376.8,"Left",1,1,0,50,"Left","NoStop"
5,"41",322.8,"Left",1,1,0,50,"Left","NoStop"
5,"42",346,"Left",1,1,0,50,"Left","NoStop"
5,"43",400.7,"Right",1,1,0,50,"Right","NoStop"
5,"44",280.3000001,"Left",1,1,0,50,"Left","NoStop"
5,"45",369.5,"Left",1,1,0,50,"Left","NoStop"
5,"46",332.9,"Left",1,1,0,50,"Left","NoStop"
5,"47",229.1999999,"Left",1,0,1,50,"NoGo","Stop"
5,"48",288.2,"Right",1,1,0,50,"Right","NoStop"
5,"49",377,"Right",1,1,0,50,"Right","NoStop"
5,"50",305.5,"Right",1,1,0,50,"Right","NoStop"
5,"51",348,"Left",1,1,0,50,"Left","NoStop"
5,"52",343.2,"Left",1,1,0,50,"Left","NoStop"
5,"53",309.3000001,"Right",1,1,0,50,"Right","NoStop"
5,"54",259.1,"Left",1,1,0,50,"Left","NoStop"
5,"55",279.7,"Right",1,1,0,50,"Right","NoStop"
5,"56",344.1,"Left",1,0,1,50,"Right","NoStop"
5,"57",392.8,"Left",1,1,0,50,"Left","NoStop"
5,"58",814.9000001,"Left",1,0,1,50,"NoGo","Stop"
5,"59",352.6,"Right",1,1,0,50,"Right","NoStop"
5,"60",311.5999999,"Left",1,1,0,50,"Left","NoStop"
5,"61",582.4,"Left",1,1,0,50,"Left","NoStop"
5,"62",317.6,"Left",1,1,0,50,"Left","NoStop"
5,"63",284.1,"Right",1,1,0,50,"Right","NoStop"
5,"64",316.6,"Right",1,1,0,50,"Right","NoStop"
5,"65",333,"Left",1,1,0,50,"Left","NoStop"
5,"66",814.4,"Left",1,0,1,50,"NoGo","Stop"
5,"67",286.5999999,"Right",1,1,0,50,"Right","NoStop"
5,"68",338.4000001,"Left",1,1,0,50,"Left","NoStop"
5,"69",760.6,"Left",1,0,1,50,"NoGo","Stop"
5,"70",342.3000001,"Right",1,1,0,50,"Right","NoStop"
5,"71",744.9000001,"Right",1,0,1,50,"NoGo","Stop"
